Item,avg_rainfall,pesticides_tonnes,avg_temp,Radiation,Season,hg/ha_yield
Soybeans,476.12,2.26,20.92,4.01,summer,20252.6
Maize,414.1,16.36,22.94,5.79,post-monsoon,31244.1
Rice,604.67,44.68,24.86,5.67,post-monsoon,36883.3
Maize,1137.49,3.24,26.97,7.31,post-monsoon,34085.4
Rice,619.98,4.15,30.32,6.65,post-monsoon,37167.3
Soybeans,1465.3,6.95,31.9,6.08,monsoon,12304.6
Rice,506.18,1.38,34.62,7.81,post-monsoon,27188.3
Rice,59.4,5.74,21.78,7.43,winter,26363.4
Soybeans,436.89,12.21,32.21,8.15,summer,15414.1
Potatoes,281.92,7.03,15.43,6.89,summer,142886.8
Maize,1496.93,24.86,29.66,4.9,monsoon,27872.4
Soybeans,228.5,11.74,20.15,10.03,winter,15260.9
Maize,700.44,10.89,24.62,9.43,monsoon,39411.7
Maize,313.92,28.13,26.66,3.55,summer,26673.5
Wheat,976.8,10.31,24.9,7.74,post-monsoon,25782.5
Potatoes,628.51,12.75,21.04,8.76,post-monsoon,172841.9
Wheat,436.0,28.17,23.57,10.43,summer,27091.3
Wheat,345.1,1.08,14.68,7.74,summer,23546.4
Maize,672.32,3.21,24.23,4.73,summer,32677.8
Wheat,654.09,5.02,21.63,2.2,post-monsoon,28764.7
Wheat,1123.19,2.88,34.32,6.52,monsoon,19936.1
Soybeans,350.0,6.5,27.76,8.98,winter,14435.7
Soybeans,301.35,1.5,34.95,4.52,winter,10698.7
Soybeans,274.36,15.09,24.34,4.34,post-monsoon,16534.8
Rice,518.46,13.95,22.57,6.11,post-monsoon,35958.4
Rice,886.42,28.3,39.7,6.19,post-monsoon,30358.3
Potatoes,297.59,28.29,23.95,10.25,post-monsoon,120260.8
Wheat,737.14,34.79,27.51,2.38,post-monsoon,28774.2
Wheat,262.05,63.34,16.53,1.0,summer,18026.6
Soybeans,399.32,17.36,22.08,5.84,summer,16173.9
Maize,458.54,4.46,15.57,12.68,summer,22467.8
Potatoes,1206.53,11.32,22.14,7.03,monsoon,131499.5
Wheat,399.34,1.53,14.15,10.7,summer,22858.2
Soybeans,225.52,37.71,22.78,7.82,post-monsoon,16395.7
Potatoes,696.64,4.75,25.73,4.63,summer,138145.4
Maize,318.31,4.52,16.89,4.13,post-monsoon,26489.4
Rice,327.25,10.66,24.75,8.05,winter,29213.4
Rice,502.7,1.06,24.45,5.17,monsoon,38278.7
Soybeans,322.17,14.38,23.36,3.1,summer,18319.9
Maize,420.98,5.75,25.7,7.89,summer,26945.4
Potatoes,715.41,13.17,11.65,12.97,post-monsoon,157378.2
Soybeans,603.18,4.79,26.21,9.62,post-monsoon,18419.4
Soybeans,182.47,4.46,32.31,6.16,winter,11376.8
Wheat,638.61,7.87,24.89,12.34,post-monsoon,28126.0
Potatoes,1133.33,2.19,15.04,5.3,monsoon,122553.5
Soybeans,270.23,3.28,23.7,1.0,summer,13021.0
Potatoes,975.11,14.82,20.62,14.97,monsoon,125815.6
Rice,448.17,11.22,31.63,8.52,summer,35267.8
Wheat,467.37,13.65,24.34,9.84,summer,28334.5
Maize,414.55,12.56,21.5,5.95,post-monsoon,29944.5
Wheat,327.44,15.32,19.68,5.44,winter,23877.3
Potatoes,1239.38,3.34,20.91,5.43,monsoon,124499.6
Wheat,224.59,33.04,15.9,5.33,post-monsoon,23593.3
Potatoes,926.1,28.94,15.8,5.98,post-monsoon,148561.0
